Model,Accuracy,Top-2 Acc,Precision(w),Recall(w),F1(w),F1(macro)
LightGBM,0.6290033065658951,0.8155880963627775,0.6342190608488224,0.6290033065658951,0.6151234373367699,0.53814630952509
HistGradientBoosting,0.62796410014171,0.8153046764289088,0.636175391593169,0.62796410014171,0.6126703420625764,0.5348591718139236
LR + HGB ensemble,0.6271138403401039,0.8117146905999055,0.6404418644845541,0.6271138403401039,0.6108747357028109,0.5337990703835704
XGBoost,0.6265470004723666,0.8175720358998583,0.6360512818745451,0.6265470004723666,0.6111832127827115,0.534554987224998
Random Forest,0.6237128011336798,0.80859707132735,0.6389724190365382,0.6237128011336798,0.6062172538077714,0.5093972286183174
Logistic Regression,0.6199338686820973,0.8073689182805858,0.6347302161937904,0.6199338686820973,0.6025656150761589,0.5242361228980765
