Model,RMSE,MAE,R2,RMSE gain vs baseline
XGBoost,0.896057446199341,0.6977337311391961,0.14481278764144967,0.07527158056771155
HistGradientBoosting,0.8983299861136652,0.6999565221756987,0.14046951361733073,0.07292632664232623
Random Forest,0.9040145365229688,0.7062174415205037,0.1295570345148751,0.0670598887956515
Ridge,0.9100737904789061,0.7116650535264087,0.11784945608600295,0.06080675808692426
Linear Regression,0.9101407209188046,0.7117128928777671,0.11771969760774159,0.06073768608695185
Baseline (train mean),0.9689952502481224,0.7604091265409387,-7.550104401299329e-05,0.0
